From,To,Desc
00AC,200C,Wrong ZWNJ by MS Word
066A,0025,Arabic PERCENT SIGN
066B,002E,Arabic DECIMAL SEPARATOR
066C,002C,Arabic THOUSANDS SEPARATOR
066D,002A,Arabic FIVE POINTED STAR
0751,062B,ݑ
0752,067E,ݒ
0750,067E,ݐ
0753,062A,ݓ
067F,062A,ٿ
0679,062A,ٹ
0758,0686,ݘ
0689,062F,ډ
068A,062F,ڊ
068B,062F,ڋ
068C,062F,ڌ
068D,062F,ڍ
068F,062F,ڏ
0690,062F,ڐ
0759,062F,ݙ
075A,062F,ݚ
076C,0695,ݬ
0691,0695,ڑ
0692,0695,ڒ
0693,0695,ړ
0694,0695,ڔ
0696,0695,ږ
0697,0698,ڗ
0699,0698,ڙ
076B,0698,ݫ
069A,0633,ښ
069B,0633,ڛ
069C,0634,ڜ
06FA,0634,ۺ
069D,0635,ڝ
069E,0636,ڞ
06FB,0636,ۻ
069F,0638,ڟ
06A0,063A,ڠ
06FC,063A,ۼ
06A1,0641,ڡ
06A2,0641,ڢ
06A3,0641,ڣ
06A5,06A4,ڥ
06A4,06A4,ڤ
06A7,0642,ڧ
06A8,0642,ڨ
06A8,0642,ڨ
06AA,06A9,ڪ
06AB,06A9,ګ
06AC,06A9,ڬ
06AD,06A9,ڭ
06AE,06A9,ڮ
063B,06A9,ػ
063C,06A9,ؼ
06B0,06AF,ڰ
06B1,06AF,ڱ
06B2,06AF,ڲ
06B3,06AF,ڳ
06B4,06AF,ڴ
06D2,06CC,ے
06CD,06CC,ۍ
06B6,06B5,ڶ
06B7,06B5,ڷ
06B8,06B5,ڸ
076A,06B5,ݪ
0765,0645,ݥ
0766,0645,ݦ
06B9,0646,ڹ
06BA,0646,ں
06BB,0646,ڻ
06BC,0646,ڼ
06BD,0646,ڽ
0767,0646,ݧ
0768,0646,ݨ
0769,0646,ݩ
06C4,06C6,ۄ
06C5,06C6,ۅ
06C8,06C6,ۈ
06C9,06C6,ۉ
06CB,06C6,ۋ
0676,06C6,ٶ
06C9,06C6,ۉ
06C7,0648 0648,ۇ
