From,To,Desc
A78C,0027,Latin Small Letter Saltillo ꞌ
FEFF,200C,ZERO WIDTH NO-BREAK SPACE
200B,200C,ZERO WIDTH SPACE
2010,002D,HYPHEN
2011,002D,NON-BREAKING HYPHEN
2012,002D,FIGURE DASH
2013,002D,EN DASH
2014,002D,EM DASH
2015,002D,HORIZONTAL BAR
2212,002D,Minus
00AD,002D,Soft Hyphen
FE58,002D,SMALL EM DASH
FE63,002D,MALL HYPHEN-MINUS
FF0D,002D,FULLWIDTH HYPHEN-MINUS
1680,0020,OGHAM SPACE MARK
2000,0020,EN QUAD
2001,0020,EM QUAD
2002,0020,EN SPACE
2003,0020,EM SPACE
2004,0020,THREE-PER-EM SPACE
2005,0020,FOUR-PER-EM SPACE
2006,0020,SIX-PER-EM SPACE
205F,0020,MEDIUM MATHEMATICAL SPACE
3000,0020,IDEOGRAPHIC SPACE
2007,0020,FIGURE SPACE
2008,0020,PUNCTUATION SPACE
2009,0020,THIN SPACE
200A,0020,HAIR SPACE
00A0,0020,NO-BREAK SPACE
202F,0020,NARROW NO-BREAK SPACE
200E,0020,LEFT-TO-RIGHT MARK
200F,0020,RIGHT-TO-LEFT MARK
202A,0020,LEFT-TO-RIGHT EMBEDDING
202B,0020,RIGHT-TO-LEFT EMBEDDING
202C,0020,POP DIRECTIONAL FORMATTING
202D,0020,LEFT-TO-RIGHT OVERRIDE
202E,0020,RIGHT-TO-LEFT OVERRIDE
0000,0020,Control
0001,0020,
0002,0020,
0003,0020,
0004,0020,
0005,0020,
0006,0020,
0007,0020,
0008,0020,
000B,0020,
000C,0020,
000E,0020,
000F,0020,
0010,0020,
0011,0020,
0012,0020,
0013,0020,
0014,0020,
0015,0020,
0016,0020,
0017,0020,
0018,0020,
0019,0020,
001A,0020,
001B,0020,
001C,0020,
001D,0020,
001E,0020,
001F,0020,
007F,0020,
0080,0020,
0081,0020,
0082,0020,
0083,0020,
0084,0020,
0085,0020,
0086,0020,
0087,0020,
0088,0020,
0089,0020,
008A,0020,
008B,0020,
008C,0020,
008D,0020,
008E,0020,
008F,0020,
0090,0020,
0091,0020,
0092,0020,
0093,0020,
0094,0020,
0095,0020,
0096,0020,
0097,0020,
0098,0020,
0099,0020,
009A,0020,
009B,0020,
009C,0020,
009D,0020,
009E,0020,
009F,0020,
0610,,Arabic Nonspacing Marks
0611,,
0612,,
0613,,
0614,,
0615,,
0616,,
0617,,
0618,,
0619,,
061A,,
0653,,
0654,,
0655,,
0656,,
0657,,
0658,,
0659,,
065A,,
065B,,
065C,,
065D,,
065E,,
065F,,
0670,,
06D6,,
06D7,,
06D8,,
06D9,,
06DA,,
06DB,,
06DC,,
06DF,,
06E0,,
06E1,,
06E2,,
06E3,,
06E4,,
06E7,,
06E8,,
06EA,,
06EB,,
06EC,,
06ED,,
FB50,0671,Arabic Presentation Forms
FB51,0671,
FB52,067B,
FB53,067B,
FB54,067B,
FB55,067B,
FB56,067E,
FB57,067E,
FB58,067E,
FB59,067E,
FB5A,0680,
FB5B,0680,
FB5C,0680,
FB5D,0680,
FB5E,067A,
FB5F,067A,
FB60,067A,
FB61,067A,
FB62,067F,
FB63,067F,
FB64,067F,
FB65,067F,
FB66,0679,
FB67,0679,
FB68,0679,
FB69,0679,
FB6A,06A4,
FB6B,06A4,
FB6C,06A4,
FB6D,06A4,
FB6E,06A6,
FB6F,06A6,
FB70,06A6,
FB71,06A6,
FB72,0684,
FB73,0684,
FB74,0684,
FB75,0684,
FB76,0683,
FB77,0683,
FB78,0683,
FB79,0683,
FB7A,0686,
FB7B,0686,
FB7C,0686,
FB7D,0686,
FB7E,0687,
FB7F,0687,
FB80,0687,
FB81,0687,
FB82,068D,
FB83,068D,
FB84,068C,
FB85,068C,
FB86,068E,
FB87,068E,
FB88,0688,
FB89,0688,
