Frequency,WeightPattern,Title
1044,–∪–––∪–––∪–––∪–,فاعلاتن فاعلاتن فاعلاتن فاعلن
999,∪–––∪–––∪–––∪–––,مفاعیلن مفاعیلن مفاعیلن مفاعیلن
386,∪–––∪–––∪––,مفاعیلن مفاعیلن فعولن
334,––∪∪––∪∪––∪∪––,مفعولُ مفاعیلُ مفاعیلُ فعولن
272,––∪∪––∪∪––∪∪–,مفعولُ مفاعیلُ مفاعیلُ فعل
213,––∪–∪–∪∪––∪–∪–,مفعولُ فاعلاتُ مفاعیلُ فاعلن
138,∪∪––∪∪––∪∪––∪∪–,فعلاتن فعلاتن فعلاتن فعلن
131,––∪∪–∪–∪––,مفعولُ مفاعلن فعولن
62,–∪–––∪–––∪–,فاعلاتن فاعلاتن فاعلن
45,∪∪––∪–∪–∪∪–,فعلاتن مفاعلن فعلن
40,∪–∪–∪∪––∪–∪–∪∪–,مفاعلن فعلاتن مفاعلن فعلن
31,––∪∪–––––∪∪–––,مفعولُ مفاعیلن مفعولُ مفاعیلن
28,––∪–∪––––∪–∪––,مفعولُ فاعلاتن مفعولُ فاعلاتن
20,∪∪––∪∪––∪∪–,فعلاتن فعلاتن فعلن
19,––∪–––∪–––∪–––∪–,مستفعلن مستفعلن مستفعلن مستفعلن
14,∪––∪––∪––∪–,فعولن فعولن فعولن فعل
13,∪–∪–∪––∪–∪–∪––,مفاعلن فعولن مفاعلن فعولن
9,–∪∪––∪––∪∪––∪–,مفتعلن فاعلن مفتعلن فاعلن
8,–∪∪––∪∪––∪–,مفتعلن مفتعلن فاعلن
8,–∪–––∪–––∪–––∪––,فاعلاتن فاعلاتن فاعلاتن فاعلاتن
7,∪–∪–∪–∪–∪–∪–∪–∪–,مفاعلن مفاعلن مفاعلن مفاعلن
7,–∪∪–∪–∪––∪∪–∪–∪–,مفتعلن مفاعلن مفتعلن مفاعلن
6,∪––∪––∪––∪––,فعولن فعولن فعولن فعولن
5,∪––∪∪––∪∪––∪∪––,مفاعیلُ مفاعیلُ مفاعیلُ فعولن
3,∪∪–∪–∪∪–∪–∪∪–∪–∪∪–∪–,متفاعلن متفاعلن متفاعلن متفاعلن
2,∪∪–∪–∪––∪∪–∪–∪––,فعلاتُ فاعلاتن فعلاتُ فاعلاتن
2,∪–∪–∪∪––∪–∪–∪∪––,مفاعلن فعلاتن مفاعلن فعلاتن
